Naive,RandomizeUpdate,Randomize,KMP,Boyer-Mooer,String.indexOf
4050771,467096808,462331131,5909260,1261619,3840
5168775,569182619,553270680,7066161,1420057,11292
4547700,520753208,514434866,6615045,1405784,3556
4552039,536736629,539655143,6660303,1337825,3268
3745552,533468037,527095960,7201650,1275377,3393
4558087,589470497,594979801,7856628,1366917,3373
4328518,515322891,512079205,6264449,1231542,3446
4210192,556298716,555356014,6737255,1348427,3673
4595227,606304992,613055360,8759889,1411634,3617
4054797,558277502,559893470,9203026,1424737,3499
3948150,539337160,552233604,6605165,1392633,3496
5524440,627973188,602937998,9076420,1592824,3985
5490068,570581184,570601549,7704506,1912579,4439
7980195,669337420,700353573,8863101,1763426,5389
4016331,643359720,646065104,7358114,1519886,3611
4058773,620129598,605262472,6899343,1452151,3562
7945411,818217928,810289260,9653046,2032474,6631
7495208,915867072,887971636,10712820,2268775,6376
5310464,681379270,650350208,8001161,1745231,4996
4824659,681483293,685764525,8017287,1643364,3727
5007097,646290002,642035936,7672352,1648123,3777
4641939,548830751,546123877,6532566,1332125,3404
4770337,551150346,551221250,6805918,1381802,4067
4424512,608086212,604849298,7093563,1425339,4147
5265318,549320924,540801140,6889351,1393052,3714
4211807,523211260,522849931,6469496,1258858,3148
4247782,471857721,474124089,6818335,1260355,3342
3950240,522647721,524839695,6267972,1285326,3138
4479160,579170714,579903962,7376526,1580443,3467
4209959,548348992,550461606,6786540,1421781,3382
3965894,507361963,508730321,6103612,1236504,3239
4607126,603265595,617746568,7511319,1483917,3987
7279594,851981496,837713838,10181984,2309013,6299
7579069,936601827,927593900,12350309,2322678,5786
4475319,672707032,673748217,7564090,1568202,3921
4483322,644369620,639207153,7377517,1565016,4168
4362840,643677241,650449542,7599980,1540241,3752
4079612,507650005,506898740,6368165,1365665,3366
4282794,574723370,572799151,6948280,1483228,3241
4168054,593282848,578479255,6844707,1375957,3139
3733680,502961129,500097081,5993717,1239282,3372
3940208,530909054,527573617,6309722,1266229,3235
4091046,437962898,423562052,5385394,1127354,3074
4266673,504744120,487194156,6014895,1244425,3327
3983159,577806954,577683256,7002675,1514141,3546
4850612,611745506,590790806,7259782,1517458,3626
4922950,534960393,537531424,6773391,1332185,3604
3973763,581706630,574003566,6654400,1404415,3550
3665948,528835091,530296070,6183464,1233990,3130
3911490,543125915,540136033,6443282,1366101,3187
4028799,473365666,470540445,5767312,1192889,3331
4050257,527699787,528042811,7275497,1387172,3542
4023811,589627358,585630160,6618732,1369691,3793
5125636,564614888,570089035,7261333,1525706,3835
4314910,555342062,552982423,6706972,1364167,3191
4312183,524683054,526787523,6415215,1262339,3094
4058566,516339191,513895818,6209941,1247415,3170
4447379,477778022,475675284,6061476,1243944,3434
4257945,439274285,441097973,5618568,1158639,3178
4257435,593644710,584146651,7575978,1422084,3557
4176475,568160527,563141852,6624772,1375120,3614
5749832,587280748,590303274,8368976,1531244,4223
7645559,970218910,941591303,11337408,2404677,6315
7610393,809791328,807892238,9771396,2091654,5874
4315261,557115094,560350605,6495116,1241777,3283
4375458,582125059,575567985,6801537,1341423,3019
4120848,516004803,494955798,7838046,1323233,3360
4074538,565207094,567136028,7176482,1300255,3383
4453464,516650986,517855701,6231399,1320977,3670
4536452,588303573,595146659,6900259,1419176,3375
5543945,685978558,683290824,8320849,1821022,4420
7344151,927531137,905218241,11014794,2409589,6630
7393018,901188540,865700228,10153093,2036820,5040
3798380,575418063,573983420,6679769,1328091,3122
4165326,486734853,468643222,5774506,1187041,3384
4758030,578199510,582301980,7056710,1435029,3275
4247262,510930709,512327779,6597991,1179254,3130
4188193,510459947,512839373,6302604,1307823,3292
3839331,576553989,576304821,6688179,1319206,3003
3640641,501434312,500882763,6017072,1201522,3130
4044277,563204644,562817470,6605090,1407942,3386
4746958,637227187,634956263,7644909,1593042,3902
3822048,516397810,520883988,6114283,1357530,3735
5218586,524980427,531637323,7565772,1405380,3284
4085549,529996132,520025399,6191370,1295682,3066
4306480,548668631,542038708,6318421,1227355,3196
4136164,504178545,497964369,5990177,1206610,3400
4232523,565183728,562515709,6854814,1416221,3588
3952162,519446695,523408526,6185118,1341066,3205
4252228,532179856,530377550,6629861,1423396,3700
6312811,749721654,727053990,9073876,2055377,5192
8446409,1055313048,1059407535,12866288,2714290,6324
5967012,733135992,728936400,8808298,1887353,4361
4994742,690219730,692517516,8160134,1693602,4184
5922544,571531286,568699446,7215715,1462146,4352
4291865,667108704,664307858,7950998,1626156,3510
4021499,629660046,627188385,7788972,1444399,3424
4104434,547557448,549390584,6614889,1395672,3620
3861710,465071757,465007385,5729324,1244192,3390
3840187,611661734,610269842,8123863,1371177,3423
3959814,627324468,613013013,7295443,1506627,3219
4786515,618588685,614828111,7350375,1444156,3064
4782328,545263796,550841128,6841796,1446685,3546
4065292,557673938,559921535,6586685,1390822,3869
4808341,551738736,546419704,7071560,1500458,3633
4327355,396728921,394343967,5395202,1169060,3393
3876813,555995537,557093626,6599790,1388294,3550
5033435,546915466,553436334,7533544,1505027,3867
4950946,526333021,523510499,7542583,1327587,3501
4510620,547211088,550751346,6730149,1415494,3919
4769553,605046176,606202118,7407882,1547185,3482
5281285,517134078,518394068,7545970,1383506,3472
6239572,754279000,769469556,9469463,2084106,5384
6631393,1040859772,1042478691,12068775,2645567,6419
6242977,720712163,722223998,8834272,1886309,4465
5022537,709210683,708837667,8360656,1695235,3918
4928659,586684834,584589415,7146190,1518262,3959
4692522,598662756,599348875,7370238,1597694,3854
4203023,555462033,552948355,6579560,1352224,4316
4199485,609416053,612926773,7138407,1527560,3587
4908358,584073768,586428498,7296895,1613759,3524
3913777,572171396,571974221,6877092,1441014,3312
4095226,521233276,522723329,7190299,1279156,3072
4382164,507240299,482917141,6183716,1312288,4166
4542757,608635133,606205333,7071951,1480157,3548
4626211,571023815,576001907,7760788,1431304,3561
5031517,540351662,535143061,6895880,1424780,4137
6488871,923692811,923332796,10932155,2282931,5218
8449230,1036845740,1026555373,13454034,2597905,6402
5763518,732504805,732315174,8705164,1780158,4422
4568785,555543707,531796898,6785520,1558185,3813
6142918,696288082,700270115,8289964,1635834,4109
5208046,632093412,632647623,7578612,1550886,3493
4795031,543665871,541597917,6693253,1413305,3567
4470404,534890943,522903734,8179196,1497123,3810
4405019,561477981,560618798,6689599,1353221,3621
