Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
5199035,5149058,6923739,1640041,30572
4790251,4815994,6458689,1547023,22107
4999796,4958853,8439371,1770062,23037
4999129,4999230,6923984,1740189,22628
4891093,4899558,6843981,1656498,22591
4799470,4758380,6342084,1515942,22055
5155957,5201374,7110233,1733054,23058
5236242,5281008,7140812,1724889,22748
5209077,5186910,7035784,1693676,23407
4694242,4668949,6988315,1681864,22181
5219498,5154235,7272525,1729902,23313
5521652,5355714,7486813,1865918,24472
6124176,6126847,8259660,1957451,26862
5073809,5004885,6944192,1609955,22347
5862494,5868777,8098009,1894977,25411
5835048,5897581,8381396,2728627,25488
5183464,5127878,7251493,1746166,22574
5672846,5627528,7890993,1822287,24659
5671984,5631538,7704539,2752754,24494
6130625,6132998,8788632,2078552,26118
5378032,5350726,7311811,1717821,22693
5325552,5254855,7375025,1713776,22836
6763262,6719411,8934221,2488959,28305
5575948,5549682,7900221,1913151,24970
5314798,5286841,7574315,1803201,23251
5292548,5213312,7094905,1674044,22401
5915244,5951098,7775247,1819261,23907
5624613,5591482,7416389,1790521,23212
5503668,5443450,7765125,1831878,23275
5356024,5397714,7175578,1686839,22613
6162054,6045148,8261073,1972539,25248
6244054,6219100,8488204,2039771,25286
5369019,5379751,7543364,1823579,22483
5328114,5288471,7243659,1658722,38573
6635408,6537735,8942460,2155763,26748
5591938,5586694,7746443,1957219,23424
5320911,5221419,7760163,1813427,22480
5399503,5364464,7429124,1719523,22298
5329869,5324540,7531949,1837140,22930
5544933,5580594,7434677,1796939,22944
5618066,5658641,7777350,1852705,23089
5364115,5349317,7353379,1707014,22111
5495527,5455193,7665407,1843951,23004
5907142,5859084,8234618,1996238,24169
6034769,5978848,8358728,2005588,24928
5471098,5391002,7605016,1774482,22446
5734345,5761115,8269497,1927813,23679
6352199,6377074,8590564,2010723,25184
5925285,5855285,7977327,1869682,23604
6294503,6247267,8576930,1956134,25219
5387840,5345689,7462536,1806999,22350
6245794,6131970,8605454,2090855,25409
6516537,6413811,8507088,2044128,25113
5372925,5318205,7587620,1778919,22422
6052321,6138405,8682159,2179137,25102
5730442,5655376,7773882,1772383,22644
5841586,6014116,8158084,1871562,23140
5593458,5573504,7874045,1828357,22073
5783595,5757994,8188290,1918079,22963
6155605,6167548,8550152,2022031,24026
5555045,5575986,7761105,1814387,22447
5657313,5600511,7768811,1853093,22642
5751329,5688008,7972452,1823288,22602
6199975,6076363,8534472,2040953,24738
5844302,5840610,7975234,1905771,22643
6551792,6485283,8463373,2000934,24927
5851957,5867921,8065438,1865379,23067
5916147,5789325,8147907,1940790,23149
5640997,5699665,7935137,1857931,22881
5809838,5779219,7739471,1760454,29263
6368040,6250026,8654251,2075733,24030
6068473,6003141,8404002,2009290,23011
5889146,5821630,8081793,1864924,22657
6430688,6432857,8936898,2064236,24295
6352742,6317834,8781790,2027915,23893
6608035,6591744,9236709,2168697,25679
5924582,5899211,7696870,1818440,22640
5709508,5767408,8186882,1842207,22122
5932530,5887469,8468443,2005947,23372
5765106,5808271,8419266,1985221,22710
6486619,6440862,8959295,2074578,24813
6674842,6533944,9391787,2193229,24885
5987811,6010670,8610792,2016781,22958
6489664,6472304,8772298,2028790,24313
5928091,5915857,8251281,1896525,22281
5843899,5834073,8878912,1886649,22502
6158523,6166662,8636546,2041826,23717
6696802,6542915,8980146,2112743,24584
5997912,5977298,8332420,1956689,22973
6808426,6782820,9374493,2207569,25854
6027973,6002487,8563103,2029275,22805
6130699,6131528,8534323,2004849,22911
5839631,5802928,8338959,1952566,22203
6523518,6511027,9034456,2100910,24501
6558939,6617692,9641739,2342038,26272
6153621,5944884,8620769,2003088,22613
6295313,6309413,8789578,2076342,23663
6151132,6124185,8711414,2003738,22851
6377881,6345121,8561030,1978497,22853
6390171,6436852,8500813,2026918,23085
5928671,5890053,8536127,1914943,22088
6511661,6562749,8557211,1965228,23431
6313393,6325978,9178346,2127584,23230
6802624,6231855,9149425,2166708,23587
6387152,6245116,8465913,1900508,29824
6189385,6210707,8532319,1963126,22508
7215983,7281726,10227726,2371786,26504
6473440,6438209,8893678,2043121,23298
6101152,6086613,8478957,1913641,22267
6147673,6153069,8753402,2010515,22283
6275041,6263658,8893466,2061798,22615
6283421,6247811,8874412,2028437,22458
6255481,6263353,8601571,1963258,22289
6200711,6184846,8647121,2001204,22163
6483257,6460348,9276627,2157405,23405
6267636,6315932,8558725,2013676,22633
6195114,6189220,8771077,2436792,22016
6904797,6846155,9339483,2093325,24074
6845728,6838548,9698861,2288566,24425
6672174,6646477,9709028,2279927,24815
6362163,6385392,9208069,2124676,22273
6956258,6974331,9400853,2190616,24670
7060686,7045007,10112165,2320905,24582
7536032,7567442,10170567,2420286,26295
6946520,7043920,9548550,2232993,24526
6633540,6645349,9111271,2072961,23351
6896977,7002959,9450576,2258637,24045
6456110,6395046,8884939,2062237,22816
6933786,6880405,9839199,2223393,24950
7334715,7325233,10884463,2396545,25502
6564902,6557389,8955197,2096317,22595
6480272,6510388,9041466,1976554,21972
6511131,6551669,9041732,2036396,22360
6640383,6635598,9047200,2114973,22959
6730320,6790029,9441394,2230004,23501
6648341,6554314,9302489,2121078,22485
6452748,6433998,9087312,2096706,22412
6668468,6572386,10040708,2159813,23270
6911828,6898676,9552926,2194103,22854
6439067,6441719,9071075,2083303,22564
6802337,6783353,9886358,2231465,23946
7584416,7403593,10310839,2408859,25973
6861804,6850867,9291993,2153615,22891
6590276,6492046,9381675,2102682,22008
7019418,7045023,9839463,2248031,23832
6892929,6954144,9733072,2231725,22778
7333200,7271168,10142766,2310421,24614
7610481,7528099,10018960,2321895,25229
6735801,6749671,9099998,2131003,22470
7115479,7027258,9854988,2360476,23576
6683922,6727842,9169854,2102481,22223
6921327,6766598,9175645,2138201,22915
7257369,7211862,10633194,2242499,23659
6808510,6760676,9375888,2251588,22567
6971516,6981548,9057611,2061885,29452
7878154,7895735,10766209,2548365,25790
7571542,7578776,10187041,2417487,24583
6731687,6790527,9246895,2089797,22264
6785994,6952508,9800893,2255018,22658
6802545,6791557,9379932,2117923,22238
6553420,6624489,9295758,2123637,22023
7152695,7088656,9816593,2287888,23311
7744861,7700260,9913588,2276472,24878
7657823,7670412,10778814,2507567,24286
7113799,7227536,9690664,2231572,23512
6933617,6846558,9993416,2305408,23029
6838293,6835879,9138336,2123270,22159
7569212,7667514,10556983,2389234,24768
7146973,7150451,9988224,2265396,23656
6855977,6895418,9866644,2232357,22422
7507877,7463471,10362000,2375465,23715
7223371,7248121,10178607,2311414,23092
7000660,6979760,10124751,2262708,35062
7427416,7341466,10439165,2443023,24367
7194139,7193717,10063694,2279261,23479
7429133,7395775,10258078,2339917,23602
7984608,7934585,10633216,2449245,24722
7377736,7364833,12745196,2411991,23439
7567465,7461675,10945106,2487779,23638
8325715,8255073,11775295,2732930,26086
7652580,7418830,10262693,2304539,23489
7889457,7921035,10701343,2478694,25666
7466374,7469798,10628907,2447584,24048
7902115,7830513,11020390,2511974,24898
7277733,7192065,10012485,2279297,22636
7457602,7376419,10909818,2458146,23553
7335232,7334714,10257015,2377577,23514
7617792,7701775,10735237,2495576,24986
8702206,8605530,11443517,2543112,25184
7764409,7730429,10729390,2449965,24044
7265893,7214910,11238259,2343920,22858
7926439,7862524,10752578,2470698,31583
7831609,7769452,11065536,2471401,24379
7704578,7703089,10600540,2492677,24131
7618006,7667678,10290170,2383820,23299
7590447,7575394,10609994,2352989,23602
7664132,7739541,10657944,2424911,23922
7641194,7636756,10667119,2431404,23336
7425319,7446317,10255013,2307441,22790
7694302,7691618,10230928,2319344,22730
7825839,7833537,10604211,2389409,23138
7268099,7289319,10393627,2330072,22350
7683027,7623247,10429499,2413974,22903
7842865,7807790,11027405,2551980,23228
8615773,8613781,13590191,2687950,25813
7542814,7556093,10614420,2462583,23654
7790461,7768462,11041707,2571188,24031
7891796,7903338,10909315,2403006,23215
7277227,7297630,10460837,2386141,22424
7402782,7373543,10323227,2340165,22573
8409236,8482408,11974282,2663282,25326
7513605,7529318,10686300,2351692,22454
7533859,7464531,10582085,2392494,22451
7398421,7354486,10200681,2269471,22159
8186340,8281744,11210107,2520509,23950
7514710,7501113,10857902,2433284,23028
7969259,7975361,10912523,2436562,23753
7907034,7888045,11027522,2504680,23899
8243013,8233088,11686048,2688321,24811
7420704,7425809,10556631,2371395,22782
9922851,9870425,13013161,2998105,28026
7623048,7598805,10809638,2523782,22933
7537301,7466524,10407338,2337206,22213
7945437,7942353,10759011,2478503,23237
8127748,8061096,11272294,2554583,23656
8010696,7997950,11334677,2457337,22936
7622468,7581396,10489506,2384540,22341
8001758,8001970,11300039,2595440,23129
8321055,8446679,11571808,2625695,24500
8248939,8360632,11739610,2716699,24684
8273866,8191037,11516822,2566781,23241
